Individual batch popID speciesID subspeciesID
cyanogenys_TWR246 2 cyanogenys cyanogenys cyanogenys
cuatrocienegas_UOG2018p1 1 cuatrocienegas cyanostictus cyanostictus
cuatrocienegas_UOG2019p1 1 cuatrocienegas cyanostictus cyanostictus
cyanostictus_SML137 2 cyanostictus cyanostictus cyanostictus
cyanostictus_SML139 2 cyanostictus cyanostictus cyanostictus
cyanostictus1_JJW564p1 1 cyanostictus1 cyanostictus cyanostictus
oberon10_JJW683p1 1 oberon10 oberon oberon_black
oberon10_JJW684p1 1 oberon10 oberon oberon_black
oberon10_JJW685 2 oberon10 oberon oberon_black
oberon10_JJW685p1 1 oberon10 oberon oberon_black
oberon10_JJW686 2 oberon10 oberon oberon_black
oberon10_JJW686p1 1 oberon10 oberon oberon_black
oberon10_JJW687p1 1 oberon10 oberon oberon_black
oberon2_JJW538p1 1 oberon2 oberon oberon_black
oberon2_JJW539p1 1 oberon2 oberon oberon_black
oberon2_JJW540p1 1 oberon2 oberon oberon_black
oberon2_JJW541p1 1 oberon2 oberon oberon_black
oberon2_JJW542p1 1 oberon2 oberon oberon_black
oberon2_JJW543p1 1 oberon2 oberon oberon_black
oberon2_JJW544p1 1 oberon2 oberon oberon_black
oberon3_JJW603p1 1 oberon3 oberon oberon_black
oberon3_JJW604p1 1 oberon3 oberon oberon_black
oberon3_JJW605p1 1 oberon3 oberon oberon_black
oberon3_JJW606p1 1 oberon3 oberon oberon_black
oberonS1_SML142 2 oberonS1 oberon oberon_black
oberon1_JJW532 2 oberon1 oberon oberon_red
oberon1_JJW532p1 1 oberon1 oberon oberon_red
oberon1_JJW533p1 1 oberon1 oberon oberon_red
oberon1_JJW534p1 1 oberon1 oberon oberon_red
oberon1_JJW535p1 1 oberon1 oberon oberon_red
oberon1_JJW536p1 1 oberon1 oberon oberon_red
oberon7_JJW650p1 1 oberon7 oberon oberon_red
oberon7_JJW651p1 1 oberon7 oberon oberon_red
oberon7_JJW652p1 1 oberon7 oberon oberon_red
oberon7_JJW653p1 1 oberon7 oberon oberon_red
oberon7_JJW654p1 1 oberon7 oberon oberon_red
oberon8_JJW660p1 1 oberon8 oberon oberon_red
oberon8_JJW661p1 1 oberon8 oberon oberon_red
oberon8_JJW662p1 1 oberon8 oberon oberon_red
oberon8_JJW663p1 1 oberon8 oberon oberon_red
oberon8_JJW664p1 1 oberon8 oberon oberon_red
oberonS3_SML149 2 oberonS3 oberon oberon_red
oberonS3_SML150 2 oberonS3 oberon oberon_red
oberonS3_SML151 2 oberonS3 oberon oberon_red
oberonS4_SML152 2 oberonS4 oberon oberon_red
oberonS4_SML153 2 oberonS4 oberon oberon_red
oberonS4_SML154 2 oberonS4 oberon oberon_red
oberonS5_SML156 2 oberonS5 oberon oberon_red
oberonS6_SML158 2 oberonS6 oberon oberon_red
oberonS6_SML159 2 oberonS6 oberon oberon_red
oberonS6_SML160 2 oberonS6 oberon oberon_red
ornatusJAM_JAM652 2 ornatusJAM ornatus ornatus_cae
ornatusS1_SML126 2 ornatusS1 ornatus ornatus_cae
ornatusS1_SML128 2 ornatusS1 ornatus ornatus_cae
ornatusS1_SML129 2 ornatusS1 ornatus ornatus_cae
ornatusS1_SML130 2 ornatusS1 ornatus ornatus_cae
ornatusS1_SML131 2 ornatusS1 ornatus ornatus_cae
ornatus1_JJW627 2 ornatus1 ornatus ornatus_orn
ornatus1_JJW627p1 1 ornatus1 ornatus ornatus_orn
ornatus1_JJW628p1 1 ornatus1 ornatus ornatus_orn
ornatus1_JJW629 2 ornatus1 ornatus ornatus_orn
ornatus1_JJW629p1 1 ornatus1 ornatus ornatus_orn
ornatus2_JJW670p1 1 ornatus2 ornatus ornatus_orn
ornatus2_JJW671p1 1 ornatus2 ornatus ornatus_orn
ornatus2_JJW672 2 ornatus2 ornatus ornatus_orn
ornatus2_JJW672p1 1 ornatus2 ornatus ornatus_orn
ornatus3_JJW673 2 ornatus3 ornatus ornatus_orn
ornatus3_JJW673p1 1 ornatus3 ornatus ornatus_orn
ornatus3_JJW674 2 ornatus3 ornatus ornatus_orn
ornatus3_JJW674p1 1 ornatus3 ornatus ornatus_orn
ornatus3_JJW675p1 1 ornatus3 ornatus ornatus_orn
ornatus3_JJW676p1 1 ornatus3 ornatus ornatus_orn
ornatus4_JJW677 2 ornatus4 ornatus ornatus_orn
ornatus4_JJW677p1 1 ornatus4 ornatus ornatus_orn
ornatus5_NM167p1 1 ornatus5 ornatus ornatus_orn
ornatus5_NM170p1 1 ornatus5 ornatus ornatus_orn
ornatus5_NM171p1 1 ornatus5 ornatus ornatus_orn
ornatus5_NM173p1 1 ornatus5 ornatus ornatus_orn
ornatus6_NM175p1 1 ornatus6 ornatus ornatus_orn
ornatus6_NM176p1 1 ornatus6 ornatus ornatus_orn
ornatus6_NM177p1 1 ornatus6 ornatus ornatus_orn
ornatus6_NM178p1 1 ornatus6 ornatus ornatus_orn
ornatusS2_SML132 2 ornatusS2 ornatus ornatus_orn
ornatusS3_SML134 2 ornatusS3 ornatus ornatus_orn
ornatusS3_SML136 2 ornatusS3 ornatus ornatus_orn
